# start of definition for several variables; values are from Bernd Funke
1.00, 0.70, 0.50, 0.30, 0.20, 0.15, 0.10, 0.07, 0.05, 0.03, 0.02, 0.01/
-85.,-75.,-65.,-55.,-45.,-35.,-25.,-15., -5., 5., 15., 25., 35., 45., 55., 65., 75., 85./
  #; latitude band lower boundary (deg N, must include -90 and 0)
-90.,-80.,-70.,-60.,-50.,-40.,-30.,-20.,-10., 0., 10., 20., 30., 40., 50., 60., 70., 80./
  #; latitude band upper boundary (deg N, must include 0 and 90)
-80.,-70.,-60.,-50.,-40.,-30.,-20.,-10.,  0.,10., 20., 30., 40., 50., 60., 70., 80., 90./

  #%; references latitude centers per hemisphere
-85.,-75.,-65.,-55.,-45.,-35.,-25.,-15., -5./
  5., 15., 25., 35., 45., 55., 65., 75., 85./

  #; transport times (NH and SH)
40.3,  33.3,  29.8,  38.0,  41.4,  41.1,  36.8,  29.9,  22.7,  13.7,  12.2,  11.7/
40.3,  33.3,  28.1,  22.7,  20.2,  19.2,  18.0,  17.0,  15.8,  13.3,  10.6,  10.4/

  #; maximum density occurence times (NH and SH)
179.8, 183.1, 187.4, 193.6, 196.1, 195.9, 192.7, 187.5, 182.1, 175.3, 174.2, 173.8/
195.3, 190.0, 186.1, 182.1, 180.2, 179.4, 178.5, 177.8, 176.9, 175.0, 173.0, 172.8/

  #; maximum flux occurence times (NH and SH)
158.7, 155.4, 152.8, 150.0, 148.5, 147.8, 147.1, 146.8, 146.6, 146.4, 146.0, 145.8/
185.6, 180.6, 176.6, 171.8, 168.9, 167.2, 165.4, 164.0, 163.0, 161.5, 160.1, 159.8/

  #%;maximum densities (NH and SH)
0.00128, 0.00110, 0.00091, 0.00067, 0.00058, 0.00057, 0.00066, 0.00079, 0.00092, 0.00104, 0.00100, 0.00115/
0.00413, 0.00346, 0.00288, 0.00216, 0.00174, 0.00150, 0.00128, 0.00115, 0.00111, 0.00114, 0.00122, 0.00135/

  #;maximum fluxes (NH and SH)
0.00048, 0.00054, 0.00057, 0.00058, 0.00059, 0.00060, 0.00061, 0.00062, 0.00062, 0.00063, 0.00064, 0.00070/
0.00156, 0.00163, 0.00169, 0.00178, 0.00186, 0.00191, 0.00200, 0.00207, 0.00214, 0.00223, 0.00227, 0.00240/

  #; width parameter densities (NH and SH)
0.0558, 0.0469, 0.0383, 0.0280, 0.0242, 0.0244, 0.0284, 0.0345, 0.0409, 0.0479, 0.0475, 0.0474/
0.0631, 0.0598, 0.0562, 0.0508, 0.0480, 0.0470, 0.0469, 0.0477, 0.0483, 0.0479, 0.0473, 0.0472/
  #; width parameter fluxes (NH and SH)
0.1032, 0.0994, 0.0939, 0.0838, 0.0759, 0.0711, 0.0660, 0.0633, 0.0622, 0.0622, 0.0625, 0.0627/
0.0754, 0.0751, 0.0751, 0.0752, 0.0753, 0.0754, 0.0754, 0.0753, 0.0752, 0.0751, 0.0752, 0.0754/

 0.290, 0.285, 0.288, 0.299, 0.311, 0.319, 0.327, 0.340, 0.357, 0.374, 0.393, 0.412/
 0.259, 0.248, 0.241, 0.240, 0.246, 0.260, 0.281, 0.302, 0.309, 0.306, 0.297, 0.294/
 0.210, 0.201, 0.195, 0.193, 0.196, 0.202, 0.207, 0.208, 0.206, 0.202, 0.197, 0.187/
